Date,Time,Demand
1/1/2014,0:00,2899
1/1/2014,0:15,2869
1/1/2014,0:30,2827
1/1/2014,0:45,2787
1/1/2014,1:00,2724
1/1/2014,1:15,2687
1/1/2014,1:30,2596
1/1/2014,1:45,2543
1/1/2014,2:00,2483
1/1/2014,2:15,2438
1/1/2014,2:30,2392
1/1/2014,2:45,2341
1/1/2014,3:00,2303
1/1/2014,3:15,2273
1/1/2014,3:30,2228
1/1/2014,3:45,2203
1/1/2014,4:00,2171
1/1/2014,4:15,2147
1/1/2014,4:30,2118
1/1/2014,4:45,2094
1/1/2014,5:00,2099
1/1/2014,5:15,2078
1/1/2014,5:30,2078
1/1/2014,5:45,2059
1/1/2014,6:00,2071
1/1/2014,6:15,2098
1/1/2014,6:30,2093
1/1/2014,6:45,2092
1/1/2014,7:00,2106
1/1/2014,7:15,2125
1/1/2014,7:30,2125
1/1/2014,7:45,2134
1/1/2014,8:00,2117
1/1/2014,8:15,2098
1/1/2014,8:30,2119
1/1/2014,8:45,2127
1/1/2014,9:00,2172
1/1/2014,9:15,2237
1/1/2014,9:30,2290
1/1/2014,9:45,2351
1/1/2014,10:00,2431
1/1/2014,10:15,2519
1/1/2014,10:30,2600
1/1/2014,10:45,2665
1/1/2014,11:00,2735
1/1/2014,11:15,2806
1/1/2014,11:30,2898
1/1/2014,11:45,2967
1/1/2014,12:00,3023
1/1/2014,12:15,3080
1/1/2014,12:30,3128
1/1/2014,12:45,3162
1/1/2014,13:00,3178
1/1/2014,13:15,3198
1/1/2014,13:30,3182
1/1/2014,13:45,3184
1/1/2014,14:00,3164
1/1/2014,14:15,3140
1/1/2014,14:30,3139
1/1/2014,14:45,3111
1/1/2014,15:00,3085
1/1/2014,15:15,3073
1/1/2014,15:30,3064
1/1/2014,15:45,3087
1/1/2014,16:00,3112
1/1/2014,16:15,3163
1/1/2014,16:30,3250
1/1/2014,16:45,3365
1/1/2014,17:00,3448
1/1/2014,17:15,3502
1/1/2014,17:30,3536
1/1/2014,17:45,3532
1/1/2014,18:00,3517
1/1/2014,18:15,3478
1/1/2014,18:30,3458
1/1/2014,18:45,3410
1/1/2014,19:00,3383
1/1/2014,19:15,3349
1/1/2014,19:30,3320
1/1/2014,19:45,3290
1/1/2014,20:00,3263
1/1/2014,20:15,3228
1/1/2014,20:30,3187
1/1/2014,20:45,3133
1/1/2014,21:00,3115
1/1/2014,21:15,3091
1/1/2014,21:30,3046
1/1/2014,21:45,2984
1/1/2014,22:00,2924
1/1/2014,22:15,2889
1/1/2014,22:30,2847
1/1/2014,22:45,2821
1/1/2014,23:00,2830
1/1/2014,23:15,2879
1/1/2014,23:30,2861
1/1/2014,23:45,2787
1/2/2014,0:00,2739
1/2/2014,0:15,2671
1/2/2014,0:30,2620
1/2/2014,0:45,2562
1/2/2014,1:00,2495
1/2/2014,1:15,2427
1/2/2014,1:30,2378
1/2/2014,1:45,2297
1/2/2014,2:00,2250
1/2/2014,2:15,2200
1/2/2014,2:30,2176
1/2/2014,2:45,2155
1/2/2014,3:00,2146
1/2/2014,3:15,2118
1/2/2014,3:30,2118
1/2/2014,3:45,2104
1/2/2014,4:00,2085
1/2/2014,4:15,2068
1/2/2014,4:30,2071
1/2/2014,4:45,2067
1/2/2014,5:00,2072
1/2/2014,5:15,2082
1/2/2014,5:30,2074
1/2/2014,5:45,2105
1/2/2014,6:00,2156
1/2/2014,6:15,2223
1/2/2014,6:30,2256
1/2/2014,6:45,2350
1/2/2014,7:00,2449
1/2/2014,7:15,2553
1/2/2014,7:30,2637
1/2/2014,7:45,2695
1/2/2014,8:00,2748
1/2/2014,8:15,2825
1/2/2014,8:30,2855
1/2/2014,8:45,2905
1/2/2014,9:00,3008
1/2/2014,9:15,3120
1/2/2014,9:30,3179
1/2/2014,9:45,3237
